stop_id,stop_name,stop_lat,stop_lon
24_16,Brunei International Airport,0.0,0.0
24_17,RPN Lambak Kanan (Dewan Kemasyarakatan),0.0,0.0
24_18,RPN Lambak Kanan (J. 10 Utara@J. 77/49),0.0,0.0
24_19,RPN Lambak Kanan (J. 10 Utara@Spg 169),0.0,0.0
24_20,RPN Lambak Kanan (J. 10 Utara),0.0,0.0
24_21,RPN Lambak Kanan (J. 10 Utara@Masjid),0.0,0.0
24_22,RPN Lambak Kanan (J. 10 Selatan),0.0,0.0
24_23,RPN Lambak Kanan (J. 1@SR Dato Marsal),0.0,0.0
24_24,RPN Lambak Kanan (J. 10 Selatan@J. 11),0.0,0.0
24_25,RPN Lambak Kanan (J. 10 Selatan@J. 31),0.0,0.0
24_26,J. Madang (Kg Manggis),0.0,0.0
24_27,RPN Lambak Kanan (J. 1-SM PAPH Masna),0.0,0.0
24_28,J. Madang (Kg Madang),0.0,0.0
24_29,J. Madang (Spg 61/87/115/159),0.0,0.0
24_30,J. Utama Berakas (SM Berakas),0.0,0.0
24_31,J. Utama Berakas (SM Berakas),0.0,0.0
24_32,Brunei International Airport,0.0,0.0
34_1,BSB Bus Terminal,0.0,0.0
34_2,J. Kianggeh (Terrace / Radisson),0.0,0.0
34_3,J. Kianggeh (Terrace / Radisson),0.0,0.0
34_4,J. Simpang (SOAS),0.0,0.0
34_5,J. Simpang (SOAS),0.0,0.0
34_6,J. Kumbang Pasang (STPRI),0.0,0.0
34_7,J. Kumbang Pasang (STPRI),0.0,0.0
34_8,J. Kumbang Pasang (Riverview),0.0,0.0
34_9,J. Kumbang Pasang (JPM),0.0,0.0
34_10,Airport Lama (Bangunan JKR / TelBru),0.0,0.0
34_11,Airport Lama (TelBru / Bangunan JKR),0.0,0.0
34_12,Airport Lama (Dental / Fire Rescue),0.0,0.0
34_13,Airport Lama (Fire Rescue / Dental),0.0,0.0
34_14,Burong Pingai,0.0,0.0
34_15,Burong Pingai,0.0,0.0
34_16,J. Muara (Hua Ho Manggis),0.0,0.0
34_17,J. Manggis 2,0.0,0.0
34_18,J. Muara (MSPSBS-Science College),0.0,0.0
34_19,J. 1 Lambak Kanan,0.0,0.0
34_20,J. Muara (Kompleks Delima Jaya),0.0,0.0
34_21,J. Madang,0.0,0.0
34_22,Brunei International Airport,0.0,0.0
